Name,RA(J2000),DEC(J2000),Radius,magnitude
KV Hya,12 24 32.795,-26 14 08.804,0.5,11.55
LAMOST J122804.90-014825.7,12 28 04.886,-01 48 25.563,0.5,12.64
CQ Dra,12 30 06.490,+69 12 03.168,0.5,4.95
CXOUGC J174528.7-290942,12 30 20.968,+04 24 58.688,0.5,8.12
[SDL2016] Nova 36,12 30 44.360,+12 23 02.029,0.5,25.91
[SDL2016] Nova 39,12 30 44.940,+12 23 55.180,0.5,26.13
[SDL2016] Nova 33,12 30 45.040,+12 23 10.079,0.5,25.01
[SDL2016] Nova 34,12 30 45.310,+12 23 44.689,0.5,25.86
[SDL2016] Nova 38,12 30 45.470,+12 24 49.118,0.5,26.01
[SDL2016] Nova 40,12 30 45.900,+12 23 34.289,0.5,26.20
[SDL2016] Nova 41,12 30 46.680,+12 22 38.690,0.5,26.30
[SDL2016] Nova 35,12 30 53.180,+12 23 01.072,0.5,25.88
[SDL2016] Nova 37,12 30 53.460,+12 23 36.229,0.5,25.95
Tol 26,12 33 12.968,-27 48 53.377,0.5,-
TX CVn,12 44 42.046,+36 45 50.537,0.5,10.15
RW Hya,13 34 18.108,-25 22 48.670,0.5,10.00
LAMOST J135013.39+474041.7,13 50 12.974,+47 40 41.671,0.5,11.11
IV Vir,14 16 34.293,-21 45 50.315,0.5,10.68
CD-28 10578,14 18 28.907,-28 39 03.803,0.5,11.70
NSVS J1444107-074451,14 44 10.673,-07 44 49.491,0.5,13.10
GaSS 1-7,14 57 25.031,-24 48 24.774,0.5,13.50
GaSS 1-8,15 23 54.804,-29 43 14.886,0.5,13.64
LAMOST J155757.60+291003.9,15 57 57.499,+29 10 00.191,0.5,11.58
T CrB,15 59 30.157,+25 55 12.806,0.5,10.12
GaSS 1-20,16 00 54.851,-16 28 32.617,0.5,12.12
AG Dra,16 01 40.993,+66 48 10.041,0.5,9.74
GaSS 1-21,16 12 42.831,-20 37 23.579,0.5,13.76
GaSS 1-22,16 14 17.677,-25 09 20.605,0.5,11.91
UKS Ce-1,16 15 29.626,-22 12 15.584,0.5,-
GSC 06806-00016,16 19 33.342,-28 07 39.986,0.5,12.78
WRAY 15-1470,16 23 21.637,-27 40 10.391,0.5,13.76
Gaia DR2 6043925532812301184,16 27 49.752,-29 16 45.544,0.5,14.20
ASASSN-V J163807.84-284207.6,16 38 07.833,-28 42 07.687,0.5,13.70
Gaia DR2 4131587500273361280,16 39 59.647,-18 44 38.147,0.5,13.90
Gaia DR3 6031231469239416576,16 44 53.750,-29 50 36.892,0.5,15.21
THA 23-30,16 50 02.887,-23 05 17.272,0.5,14.60
V1196 Sco,16 51 20.396,-26 00 26.861,0.5,13.75
TYC 1521-203-1,16 52 36.093,+16 50 49.474,0.5,11.49
KO Her,16 53 19.248,+33 09 58.136,0.5,12.68
GaSS 1-9,16 55 28.747,-03 09 44.997,0.5,13.30
V2096 Oph,16 56 05.449,-24 06 37.153,0.5,12.90
ER Oph,17 00 42.128,-26 10 12.688,0.5,11.80
ASASSN-V J170231.98-275954.2,17 02 31.975,-27 59 54.445,0.5,13.90
