Name,RA(J2000),DEC(J2000),Radius,magnitude
J2014+1529,20 14 24.9,+15 29 30,0.5,19.3
LS Cam,05 57 24.0,+72 41 52,0.5,16.7
V2400 Oph,17 12 36.4,-24 14 45,0.5,14.2
J1751-2934,17 51 22.7,-29 34 36,0.5,18.8R
Aqr 1,22 38 43.8,+01 08 21,0.5,18.1
BG CMi,07 31 29.0,+09 56 23,0.5,14.3
V4742 Sgr,18 02 21.9,-25 20 32,0.5,19.0I
J1751-2933#1,17 51 51.2,-29 33 10,0.5,>22.3R
J2102+3359,21 02 01.4,+33 59 30,0.5,16.6
V592 Cas,00 20 52.2,+55 42 17,0.5,12.5
V515 And,00 55 19.9,+46 12 57,0.5,14.3B
V795 Her,17 12 56.1,+33 31 21,0.5,12.7
V2491 Cyg,19 43 02.0,+32 19 14,0.5,20. :
J1751-2929#2,17 51 31.6,-29 29 56,0.5,23.1:
GZ Cnc,09 15 51.7,+09 00 50,0.5,15.4
J1740-2847,17 40 09.1,-28 47 26,0.5,18.4
J1751-2929#1,17 51 29.1,-29 29 24,0.5,>22.2R
J1751-2933#2,17 51 33.6,-29 33 13,0.5,22.4
J1751-2927,17 51 33.9,-29 27 54,0.5,20.5I
VZ Pyx,08 59 19.9,-24 28 55,0.5,15.5
EX Hya,12 52 24.4,-29 14 57,0.5,12.0
BZ UMa,08 53 44.1,+57 48 41,0.5,16.0
YY Sex,10 39 47.0,-05 06 58,0.5,17.4
J1817-2508,18 17 22.2,-25 08 43,0.5,16.9
J1751-2936,17 51 19.4,-29 36 59,0.5,22.6R
J1853-0128,18 53 30.7,-01 28 16,0.5,17.1B
DW Cnc,07 58 53.1,+16 16 45,0.5,14.0
HT Cam,07 57 01.3,+63 06 01,0.5,17.8
FS Aur,05 47 48.3,+28 35 11,0.5,15.4
QZ Vir,11 38 27.0,+03 22 08,0.5,15.2
V598 Peg,23 33 25.9,+15 22 22,0.5,18.3
J0503-2823,05 03 49.2,-28 23 09,0.5,16.7
J1751-2942,17 51 47.4,-29 42 15,0.5,21.4R
J1751-2938,17 51 18.8,-29 38 11,0.5,22.7R
J1832-0840,18 32 19.3,-08 40 30,0.5,21.1B
J0043+4117,00 43 19.8,+41 17 58,0.5,nan
J0525+2413,05 25 22.7,+24 13 33,0.5,16.4B
J0614+1704,06 14 12.3,+17 04 33,0.5,17.8B
J0820-2804,08 20 34.1,-20 04 59,0.5,16.2
J1748-2807,17 48 16.9,-28 07 50,0.5,nan
J1804-2739,18 04 30.4,-27 39 32,0.5,17.3:
J1804-1456,18 04 38.9,-14 56 47,0.5,18.0R
J2015+3711,20 15 37.0,+37 11 23,0.5,18.0B
J2138+5544,21 38 50.0,+55 44 05,0.5,18.
Cas,01 53 20.76,+74 46 22.2,0.5,16.4V-
Cam,06 25 16.18,+73 34 39.2,0.5,14.8B-
