Name,RA(J2000),DEC(J2000),Radius,magnitude
V400 Per,03 07 38.3,+47 07 40,0.5,19.0
J1806-2907,18 06 24.4,-29 07 45,0.5,17.4
V405 Peg,23 09 49.2,+21 35 18,0.5,17.9
U Gem,07 55 05.3,+22 00 06,0.5,13.9
ES Dra,15 25 31.8,+62 01 00,0.5,16.2
CW Mon,06 36 54.5,+00 02 16,0.5,16.8
UZ Ser,18 11 24.9,-14 55 34,0.5,16.2
WW Cet,00 11 24.8,-11 28 43,0.5,13.9
GY Cnc,09 09 50.6,+18 49 47,0.5,15.5
J2048+0050,20 48 27.9,+00 50 09,0.5,19.4
LS Peg,21 51 57.9,+14 06 54,0.5,11.6
V729 Sgr,19 16 49.2,-26 14 33,0.5,14.4
V849 Oph,18 14 07.3,+11 36 43,0.5,17.9
V405 Aur,05 57 59.3,+53 53 45,0.5,13.9
J0035+4623,00 35 35.7,+46 23 53,0.5,16.0
FO Per,04 08 35.0,+51 14 48,0.5,17.3
J2216+4646,22 16 50.3,+46 46 41,0.5,14.0
V516 Cyg,20 47 09.8,+41 55 27,0.5,17.7
LT Eri,04 07 14.8,-06 44 25,0.5,17.1
0139+0559,01 41 40.0,+06 14 37,0.5,15.3
VW Vul,20 57 45.1,+25 30 26,0.5,16.3
0922+1333,09 24 56.0,+13 20 53,0.5,17.0
V1033 Cas,00 22 57.6,+61 41 08,0.5,16.6
DO Aql,19 31 25.9,-06 25 38,0.5,17.8
J1923+6124,19 23 28.3,+61 24 13,0.5,17.5
J1753-2134,17 53 26.4,-21 34 05,0.5,18.9
J1831+6511,18 31 44.5,+65 11 32,0.5,15.9
J1856+4537,18 56 08.1,+45 37 40,0.5,15.2
DO Dra,11 43 38.3,+71 41 20,0.5,14.0
J1927+4447,19 27 48.5,+44 47 25,0.5,18.8
AM Cas,02 26 23.4,+71 18 32,0.5,15.2
V1193 Ori,05 16 26.7,-00 12 14,0.5,13.7
J2200+0334,22 00 31.2,+03 34 30,0.5,19.3
V1776 Cyg,20 23 30.5,+46 31 30,0.5,16.2
X Leo,09 51 01.5,+11 52 31,0.5,15.8
J0153+7446,01 53 20.9,+74 46 22,0.5,16.4
Lanning 386,21 08 34.0,+39 05 35,0.5,17.4
UU Aqr,22 09 05.7,-03 46 18,0.5,13.3
UU Aql,19 57 18.7,-09 19 21,0.5,16.0
J0940+2749,09 40 02.6,+27 49 42,0.5,17.5
J2152+19,21 52 00.0,+19 00 00,0.5,16.0
CN Ori,05 52 07.8,-05 25 01,0.5,16.5
AR And,01 45 03.3,+37 56 33,0.5,16.9
KR Aur,06 15 43.9,+28 35 09,0.5,12.7
KT Per,01 37 08.7,+50 57 20,0.5,15.6
CM Del,20 24 56.9,+17 17 54,0.5,13.4
V367 Peg,22 45 00.7,+16 55 14,0.5,18.2
0229+8016,02 35 58.3,+80 29 44,0.5,14.0
J1820-2414,18 20 38.4,-24 14 31,0.5,18.1
J1804-2659,18 04 16.6,-26 59 10,0.5,18.8
VZ Aqr,21 30 24.6,-02 59 18,0.5,18.0
J2337+4308,23 37 59.2,+43 08 52,0.5,16.4
J1930+5157,19 30 59.2,+51 57 36,0.5,20.2
J0812+1911,08 12 56.8,+19 11 58,0.5,15.8
V4077 Sgr,18 34 39.4,-26 26 03,0.5,21.0
J1446+0253,14 47 00.0,+02 53 30,0.5,17.9
V2467 Cyg,20 28 12.5,+41 48 36,0.5,20.0
CY Lyr,18 52 41.4,+26 45 30,0.5,17.0
VY For,03 32 04.6,-25 56 56,0.5,17.5
LX Ser,15 38 00.1,+18 52 03,0.5,14.1
IP Peg,23 23 08.6,+18 24 59,0.5,14.0
V523 Lyr,19 21 07.5,+37 47 57,0.5,17.7
J0227+1306,02 27 32.9,+13 06 17,0.5,17.0
J1740-2418,17 40 48.9,-24 18 34,0.5,17.5
J2108-0350,21 08 46.4,-03 50 32,0.5,17.5
0642+5049,06 46 19.6,+50 45 48,0.5,15.3
V5582 Sgr,17 45 05.4,-20 03 22,0.5,19.4
V811 Cyg,19 48 23.3,+36 26 23,0.5,17.2
V1493 Aql,19 07 36.9,+12 31 27,0.5,21.0
SV CMi,07 31 08.4,+05 58 49,0.5,16.3
BH Lyn,08 22 36.0,+51 05 25,0.5,13.7
V447 Lyr,19 00 19.9,+44 27 45,0.5,21.0
J0449-1841,04 49 02.7,-18 41 29,0.5,17.7
J1424-0227,14 24 39.0,-02 27 39,0.5,19.6
IW And,01 01 08.9,+43 23 26,0.5,17.5
PY Per,02 50 00.1,+37 39 23,0.5,19.8
J1654-1916,16 54 43.7,-19 16 31,0.5,15.6
QQ Vul,20 05 41.9,+22 39 59,0.5,14.2
J1226-2527,12 26 17.3,-25 27 04,0.5,16.7
J2340+7642,23 40 20.6,+76 42 11,0.5,16.0
V380 Oph,17 50 13.7,+06 05 29,0.5,14.3
V373 Sct,18 55 26.7,-07 43 06,0.5,18.4
LD 317,23 44 57.4,+43 31 22,0.5,12.6
0758+4019,08 02 15.3,+40 10 46,0.5,16.7
WY Sge,19 32 43.8,+17 44 55,0.5,19.0
V4579 Sgr,18 03 37.9,-28 00 09,0.5,16.2
BZ Cam,06 29 34.0,+71 04 37,0.5,12.0
V794 Aql,20 17 34.0,-03 39 51,0.5,13.3
BP Lyn,09 03 08.9,+41 17 48,0.5,14.5
AB Dra,19 49 06.5,+77 44 24,0.5,14.5
V999 Sgr,18 00 05.6,-27 33 14,0.5,16.3
LX And,02 19 44.1,+40 27 22,0.5,16.9
V5113 Sgr,18 10 10.4,-27 45 33,0.5,20.0
J0749-0549,07 49 10.4,-05 49 26,0.5,19.0
LU Cam,05 58 18.0,+67 53 46,0.5,17.0
AO Psc,22 55 18.0,-03 10 40,0.5,13.3
V425 Cas,23 03 46.6,+53 17 15,0.5,14.5
V1294 Tau,04 00 37.3,+06 22 46,0.5,14.6
0220+0603,02 23 01.6,+06 16 52,0.5,15.6
0455+8315,05 06 48.5,+83 19 23,0.5,14.5
VZ Sex,09 44 31.7,+03 58 05,0.5,16.0
1813+6122,18 14 29.6,+61 23 35,0.5,15.2
V524 Hya,09 20 09.5,+00 42 45,0.5,17.2
V2574 Oph,17 38 45.5,-23 28 19,0.5,0.0
0506+7725,05 13 36.5,+77 28 44,0.5,15.1
V533 Her,18 14 20.5,+41 51 23,0.5,14.4
J0942-1936,09 42 52.3,-19 36 52,0.5,19.5
PX And,00 30 05.8,+26 17 27,0.5,15.0
J1220-1027,12 20 59.8,-10 27 35,0.5,19.3
MV Leo,10 28 00.1,+21 48 14,0.5,16.2
IM Eri,04 24 41.1,-20 07 12,0.5,11.1
CH CrB,16 07 45.0,+36 23 21,0.5,18.0
V358 Aqr,23 16 03.6,-05 27 08,0.5,15.7
V2468 Cyg,19 58 33.4,+29 52 07,0.5,18.0
V500 Aql,19 52 28.0,+08 28 46,0.5,19.3
CP Lac,22 15 41.2,+55 37 02,0.5,15.3
J0756-1246,07 56 48.9,-12 46 54,0.5,16.3
J1007-2017,10 07 34.6,-20 17 33,0.5,16.0
VZ Scl,23 50 09.2,-26 22 53,0.5,15.6
V751 Cyg,20 52 12.8,+44 19 26,0.5,13.2
V647 Aur,06 36 32.6,+35 35 43,0.5,15.7
LN UMa,10 04 34.7,+66 29 15,0.5,14.6
V1101 Aql,20 13 04.0,+15 35 47,0.5,14.3
J1926+1322,19 26 27.0,+13 22 05,0.5,17.3
J2014+1529,20 14 24.9,+15 29 30,0.5,19.3
EV Lyn,07 54 43.0,+50 07 29,0.5,17.8
V584 Lyr,19 10 59.4,+28 56 39,0.5,18.9
LS Cam,05 57 24.0,+72 41 52,0.5,16.7
V2289 Cyg,19 34 36.1,+51 07 41,0.5,19.0
V2400 Oph,17 12 36.4,-24 14 45,0.5,14.2
J0746-0934,07 46 55.5,-09 34 31,0.5,14.0
MN Hya,09 29 07.1,-24 05 05,0.5,16.5
V849 Her,16 35 45.7,+11 24 58,0.5,14.6
J1659+1927,16 59 51.7,+19 27 46,0.5,16.8
V388 Peg,21 57 32.4,+08 55 14,0.5,17.5
J1422-0221,14 22 56.4,-02 21 07,0.5,19.4
V1432 Aql,19 40 11.5,-10 25 25,0.5,14.9
J1751-2934,17 51 22.7,-29 34 36,0.5,18.8
BO Cet,02 06 39.2,-02 03 43,0.5,13.5
BY Cam,05 42 48.9,+60 51 32,0.5,14.0
V1315 Aql,19 13 54.5,+12 18 03,0.5,14.3
TT Tri,01 31 59.7,+29 49 22,0.5,15.6
V1500 Cyg,21 11 36.6,+48 09 02,0.5,19.2
WX Ari,02 47 36.2,+10 35 39,0.5,15.3
J0733+2619,07 33 46.3,+26 19 26,0.5,17.4
DY Pup,08 13 48.4,-26 33 57,0.5,19.6
V378 Peg,23 40 04.3,+30 17 47,0.5,13.8
V1668 Cyg,21 42 35.2,+44 01 55,0.5,19.7
V603 Aql,18 48 54.6,+00 35 03,0.5,11.4
TT Ari,02 06 53.1,+15 17 43,0.5,9.5
V5585 Sgr,18 07 27.0,-29 00 44,0.5,21.8
2133+0513,21 35 59.3,+05 27 00,0.5,16.9
J0756+0858,07 56 53.1,+08 58 32,0.5,16.5
OZ Dra,13 27 23.4,+65 28 54,0.5,17.8
DW UMa,10 33 53.0,+58 46 55,0.5,13.6
J1206+5100,12 06 15.7,+51 00 47,0.5,19.9
XX Tau,05 19 24.5,+16 43 00,0.5,18.6
OR And,23 04 37.4,+49 27 24,0.5,14.5
HL Aqr,22 20 26.9,+02 00 54,0.5,13.3
V393 Hya,11 00 17.5,-29 51 59,0.5,15.9
SW Sex,10 15 09.4,-03 08 34,0.5,14.3
Aqr 1,22 38 43.8,+01 08 21,0.5,18.1
J2342+3248,23 42 26.2,+32 48 20,0.5,17.9
BG CMi,07 31 29.0,+09 56 23,0.5,14.3
V1494 Aql,19 23 05.4,+04 57 20,0.5,17.6
V482 Cam,07 33 41.4,+67 32 16,0.5,15.7
V4742 Sgr,18 02 21.9,-25 20 32,0.5,19.0
J0809+3814,08 09 08.4,+38 14 06,0.5,15.6
J0753+0445,07 53 30.8,+04 45 56,0.5,14.6
J0734-1706,07 34 18.6,-17 06 27,0.5,17.8
J0837+3830,08 37 51.0,+38 30 12,0.5,18.9
MV Lyr,19 07 16.3,+44 01 08,0.5,11.8
V519 Ser,16 10 07.5,+03 52 33,0.5,16.5
V339 Del,20 23 30.7,+20 46 04,0.5,17.4
J0759+1914,07 59 39.8,+19 14 17,0.5,18.2
J0130+6221,01 30 31.9,+62 21 32,0.5,17.5
DK Lac,22 49 47.0,+53 17 20,0.5,16.8
AM Her,18 16 13.3,+49 52 04,0.5,12.0
KQ Mon,07 31 21.1,-10 21 50,0.5,13.0
DN Gem,06 54 54.4,+32 08 27,0.5,16.0
BX Pup,07 54 15.6,-24 19 36,0.5,16.6
2141+1231,21 43 54.6,+12 44 50,0.5,16.2
V4633 Sgr,18 21 40.5,-27 31 38,0.5,18.7
J2319+2615,23 19 30.3,+26 15 19,0.5,16.5
LQ Peg,21 36 19.1,+11 40 55,0.5,14.4
V442 Oph,17 32 15.1,-16 15 22,0.5,12.6
DM Gem,06 44 12.1,+29 56 42,0.5,16.7
J0813+2813,08 13 52.0,+28 13 17,0.5,17.1
J2250+5731,22 50 37.0,+57 31 54,0.5,20.3
J0545+0221,05 45 58.3,+02 21 06,0.5,17.9
V1084 Her,16 43 45.7,+34 02 40,0.5,12.5
J1751-2933#1,17 51 51.2,-29 33 10,0.5,22.3
HY Eri,05 01 46.3,-03 59 21,0.5,17.5
J1741-2758,17 41 42.4,-27 58 30,0.5,19.4
J2102+3359,21 02 01.4,+33 59 30,0.5,16.6
V2214 Oph,17 12 01.6,-29 37 33,0.5,20.5
J1432+1914,14 32 09.8,+19 14 04,0.5,18.4
V5627 Sgr,18 01 56.3,-27 22 56,0.5,16.1
WX LMi,10 26 27.5,+38 45 04,0.5,0.0
V592 Cas,00 20 52.2,+55 42 17,0.5,12.5
J1924+4459,19 24 10.8,+44 59 35,0.5,15.2
EU Lyn,07 52 40.5,+36 28 23,0.5,17.8
V515 And,00 55 19.9,+46 12 57,0.5,14.3
V405 Vul,19 53 05.0,+21 14 49,0.5,19.0
QU Vul,20 26 46.0,+27 50 43,0.5,19.4
KZ Gem,06 53 02.5,+16 39 59,0.5,16.8
PZ Vir,13 24 11.6,+03 20 51,0.5,20.5
CI Gem,06 30 05.9,+22 18 51,0.5,21.7
J1721+44,17 21 00.0,+44 00 00,0.5,17.6
J0524+4244,05 24 30.5,+42 44 51,0.5,16.5
AX Cap,20 08 57.0,-17 16 38,0.5,21.5
V795 Her,17 12 56.1,+33 31 21,0.5,12.7
V Per,02 01 53.9,+56 44 04,0.5,18.1
V2491 Cyg,19 43 02.0,+32 19 14,0.5,20.0
J2039-0429,20 39 37.7,-04 29 08,0.5,19.0
AP CrB,15 54 12.3,+27 21 52,0.5,17.0
V654 Aur,07 29 10.7,+36 58 38,0.5,0.0
V434 Gem,07 48 13.5,+29 05 09,0.5,18.6
J0659+2525,06 59 21.7,+25 25 55,0.5,20.5
J1627+1204,16 27 18.5,+12 04 35,0.5,19.2
J1908+42,19 08 00.0,+42 00 00,0.5,18.5
J1340+1513,13 40 52.1,+15 13 41,0.5,18.3
V1363 Cyg,20 06 11.5,+33 42 38,0.5,17.6
J0011-0647,00 11 53.1,-06 47 39,0.5,17.0
V1239 Her,17 02 13.3,+32 29 54,0.5,17.4
J1753-2921,17 53 10.0,-29 21 21,0.5,18.6
J0859+0536,08 59 09.2,+05 36 55,0.5,15.6
MN Dra,20 23 38.3,+64 36 27,0.5,19.2
J1619+0319,16 19 53.3,+03 19 09,0.5,17.3
V351 UMa,12 44 26.3,+61 35 15,0.5,18.8
V1006 Cyg,19 48 47.2,+57 09 22,0.5,17.8
J1751-2929#2,17 51 31.6,-29 29 56,0.5,23.1
J1830+1233,18 30 01.8,+12 33 48,0.5,16.7
NY Ser,15 13 02.3,+23 15 08,0.5,18.7
J1749+1913,17 49 02.1,+19 13 30,0.5,20.3
J0625-0247,06 25 01.7,-02 47 59,0.5,20.1
J0814+0907,08 14 08.4,+09 07 59,0.5,20.7
DV Sco,16 50 27.9,-28 07 59,0.5,18.4
J0648+0656,06 48 33.5,+06 56 23,0.5,18.5
V444 Peg,21 37 01.8,+07 14 46,0.5,19.4
J1425+1515,14 25 48.1,+15 15 01,0.5,21.8
V725 Aql,19 56 45.1,+10 49 32,0.5,19.3
KT Eri,04 47 54.2,-10 10 43,0.5,14.5
J0038+2509,00 38 27.0,+25 09 25,0.5,18.7
J0750+1411,07 51 00.0,+14 11 50,0.5,18.8
V1189 Her,16 29 36.5,+26 35 20,0.5,18.8
J0153+3408,01 53 21.5,+34 08 56,0.5,21.1
J0446+4857,04 46 33.7,+48 57 56,0.5,18.1
J1200-1526,12 00 52.9,-15 26 21,0.5,18.3
J1847+5300,18 47 02.6,+53 00 31,0.5,0.0
J2147+2445,21 47 38.4,+24 45 54,0.5,18.4
J1503-2207,15 03 54.0,-22 07 11,0.5,16.4
J1536+3328,15 36 34.4,+33 28 52,0.5,19.2
J1333+1437,13 33 09.2,+14 37 07,0.5,18.5
J2054-1940,20 54 08.2,-19 40 27,0.5,20.3
J1625+1203,16 25 20.3,+12 03 09,0.5,18.5
J0846+3115,08 46 16.9,+31 15 55,0.5,21.8
HU Leo,09 24 44.5,+08 01 51,0.5,19.3
J1316-1513,13 16 25.7,-15 13 13,0.5,20.5
V589 Her,16 22 07.2,+19 22 36,0.5,17.5
GV Psc,01 13 06.7,+21 52 51,0.5,20.5
J2218+1925,22 18 32.7,+19 25 21,0.5,17.9
J2242-1945,22 42 58.0,-19 45 52,0.5,19.7
UV Gem,06 38 44.1,+18 16 11,0.5,18.8
MT Dra,18 46 58.9,+55 38 29,0.5,20.0
BT CrB,15 56 56.9,+35 23 37,0.5,18.9
GX Cas,00 49 01.5,+56 52 45,0.5,18.5
J0259+4457,02 59 38.3,+44 57 05,0.5,21.3
J2234+0041,22 34 39.9,+00 41 27,0.5,18.3
GZ Cnc,09 15 51.7,+09 00 50,0.5,15.4
J2234-0355,22 34 18.4,-03 55 30,0.5,21.0
J0637-2541,06 37 47.5,-25 41 20,0.5,19.6
J0939+6956,09 39 55.7,+69 56 46,0.5,20.5
J1557+1807,15 57 20.7,+18 07 20,0.5,18.7
J1623+7826,16 23 23.4,+78 26 03,0.5,19.1
V344 Lyr,18 44 39.2,+43 22 28,0.5,19.5
UZ For,03 35 28.6,-25 44 23,0.5,15.5
J0738+2855,07 38 17.8,+28 55 20,0.5,19.6
J0325-0814,03 25 39.4,-08 14 43,0.5,14.5
