Name,RA(J2000),DEC(J2000),Radius,magnitude
DV Dra,18 17 23.1,+50 48 18,0.5,21.0
QZ Vir,11 38 27.0,+03 22 08,0.5,15.2
EG Cnc,08 43 04.0,+27 51 50,0.5,19.1
KV Dra,14 50 38.3,+64 03 28,0.5,17.1
OV Dra,12 50 23.9,+66 55 25,0.5,18.9
J2003-2849,20 03 31.3,-28 49 41,0.5,19.2
V624 Peg,21 09 50.4,+13 48 40,0.5,18.7
J0137+2203,01 37 41.1,+22 03 12,0.5,20.0
J0752+5305,07 52 55.0,+53 05 31,0.5,21.6
J0921+2038,09 21 22.8,+20 38 57,0.5,16.6
BM CrB,15 41 04.7,+36 02 53,0.5,17.2
J2230-1458,22 30 03.0,-14 58 35,0.5,21.0
RZ LMi,09 51 49.0,+34 07 25,0.5,17.0
J2154+2641,21 54 57.7,+26 41 13,0.5,18.8
J0748+3125,07 48 59.5,+31 25 13,0.5,17.7
J1735+1547,17 35 16.9,+15 47 08,0.5,19.1
WX Cet,01 17 04.2,-17 56 23,0.5,17.5
J1706+1434,17 06 09.7,+14 34 52,0.5,18.5
V386 Ser,16 10 33.7,-01 02 22,0.5,18.9
J1955+0045,19 55 12.5,+00 45 37,0.5,15.6
FZ Cet,01 42 25.3,-22 15 58,0.5,19.2
IL Leo,10 31 00.6,+20 28 32,0.5,18.3
J0221+6019,02 21 11.9,+60 21 49,0.5,19.0
J0732+0641,07 32 08.1,+06 41 50,0.5,22.0
J1723+3304,17 23 26.0,+33 04 14,0.5,21.9
J1815+6920,18 15 23.8,+69 20 37,0.5,22.0
J2036-1311,20 36 44.2,-13 11 56,0.5,21.0
V805 Aur,06 27 03.8,+39 52 49,0.5,20.7
J2100-0242,21 00 16.0,-02 42 58,0.5,20.5
V598 Peg,23 33 25.9,+15 22 22,0.5,18.3
MM Hya,09 14 14.0,-06 47 45,0.5,18.7
J1759+2520,17 59 24.1,+25 20 32,0.5,21.5
J2205+1155,22 05 54.0,+11 55 54,0.5,20.1
J0234-0454,02 34 27.7,-04 54 31,0.5,17.0
J2224-2924,22 24 16.3,-29 24 22,0.5,20.9
V355 UMa,13 39 41.1,+48 47 27,0.5,17.7
DO Vul,19 52 10.7,+19 34 43,0.5,20.7
J2338-2049,23 38 22.5,-20 49 52,0.5,21.6
J0043-0037,00 43 35.1,-00 37 30,0.5,19.8
J0120+3255,01 20 59.6,+32 55 45,0.5,20.0
HV Vir,13 21 03.2,+01 53 29,0.5,19.0
V1838 Aql,19 15 02.1,+07 19 48,0.5,18.6
J1035+0551,10 35 33.0,+05 51 58,0.5,18.8
J0751+3006,07 51 07.5,+30 06 28,0.5,19.8
J0811+1520,08 11 17.1,+15 20 03,0.5,22.2
J0811+6600,08 11 10.4,+66 00 10,0.5,21.9
J0948+0149,09 48 54.0,+01 49 11,0.5,20.7
J1058+0547,10 58 35.1,+05 47 06,0.5,20.4
J1304+0103,13 04 41.8,+01 03 31,0.5,20.8
J1616+1151,16 16 18.7,+11 51 05,0.5,21.0
J2155+2741,21 55 12.7,+27 41 19,0.5,20.6
J1610+0907,16 10 27.6,+09 07 38,0.5,20.1
J1501+5501,15 01 37.2,+55 01 23,0.5,19.4
J1819+3613,18 19 53.8,+36 13 56,0.5,21.6
SW UMa,08 36 42.8,+53 28 38,0.5,16.5
V1108 Her,18 39 26.2,+26 04 10,0.5,17.1
GR Ori,05 21 35.0,+01 10 10,0.5,22.8
PT Per,02 42 51.2,+56 41 32,0.5,14.5
J1605+2030,16 05 01.4,+20 30 57,0.5,19.9
J2313+16,23 13 00.0,+16 00 00,0.5,16.6
PU CMa,06 40 47.7,-24 23 14,0.5,16.2
WZ Sge,20 07 36.4,+17 42 15,0.5,15.0
J0503-2823,05 03 49.2,-28 23 09,0.5,16.7
AL Com,12 32 25.9,+14 20 43,0.5,20.5
SS LMi,10 34 05.9,+31 08 00,0.5,21.5
GY Cet,01 31 32.4,-09 01 22,0.5,18.5
J1532-2833,15 32 00.4,-28 33 57,0.5,21.2
J1751-2942,17 51 47.4,-29 42 15,0.5,21.4
FL Psc,00 25 11.1,+12 17 12,0.5,17.3
J0902+0525,09 02 39.7,+05 25 01,0.5,23.2
LV Cnc,09 19 45.1,+08 57 10,0.5,18.2
V1454 Cyg,19 53 38.5,+35 21 46,0.5,20.5
V466 And,02 00 25.4,+44 10 19,0.5,20.9
V455 And,23 34 01.6,+39 21 43,0.5,16.1
EF Eri,03 14 13.0,-22 35 41,0.5,13.7
V391 Cam,05 32 33.9,+62 47 52,0.5,17.5
J0057+4431,00 57 41.0,+44 31 02,0.5,20.9
J0309+2638,03 09 29.8,+26 38 04,0.5,19.5
J0652+4710,06 52 26.7,+47 10 57,0.5,22.0
PQ And,02 29 29.5,+40 02 39,0.5,19.1
PT And,00 40 24.4,+41 04 03,0.5,22.0
GS Cet,00 50 50.9,+00 09 13,0.5,20.4
VV Equ,21 16 05.4,+11 34 08,0.5,22.1
IK Leo,10 21 46.4,+23 49 26,0.5,19.7
J0132-1043,01 32 02.7,-10 43 57,0.5,20.8
J0206+2057,02 06 33.4,+20 57 08,0.5,18.6
J0558+3915,05 58 45.5,+39 15 33,0.5,18.2
J0611+4041,06 11 28.0,+40 41 09,0.5,21.0
J0852-0844,08 52 28.6,-08 44 11,0.5,22.1
V2828 Ori,06 19 59.9,+19 26 59,0.5,20.6
J0933+1028,09 33 09.4,+10 28 02,0.5,20.5
J2051-0358,20 51 46.2,-03 58 27,0.5,20.7
J2247+2504,22 47 36.4,+25 04 36,0.5,22.0
HV And,00 40 55.3,+43 24 59,0.5,15.0
FI Cet,01 51 18.6,-02 23 01,0.5,20.7
V406 Vir,12 38 13.7,-03 39 33,0.5,17.1
J0947+0610,09 47 59.8,+06 10 44,0.5,20.4
V1247 Her,17 11 45.1,+30 13 20,0.5,20.3
V592 Her,16 30 56.5,+21 16 58,0.5,20.5
J1212+0416,12 12 40.4,+04 16 56,0.5,20.5
FH UMa,10 47 09.9,+63 35 14,0.5,18.5
J0613+3957,06 13 35.3,+39 57 15,0.5,22.0
J0528+2838,05 28 32.7,+28 38 38,0.5,14.5
V500 And,00 42 26.5,+42 15 37,0.5,22.8
GG Leo,10 15 34.7,+09 04 42,0.5,16.0
J1731+2754,17 31 25.4,+27 54 29,0.5,21.7
V2176 Cyg,19 27 11.6,+54 17 52,0.5,20.0
GZ Cet,01 37 01.1,-09 12 35,0.5,18.6
J0011+0451,00 11 33.7,+04 51 23,0.5,20.8
EV UMa,13 07 53.9,+53 51 30,0.5,17.0
EQ Lyn,07 45 31.9,+45 38 30,0.5,19.1
J1839+2221,18 39 58.0,+22 21 18,0.5,21.0
LL And,00 41 51.5,+26 37 21,0.5,19.9
SV Ari,03 25 03.4,+19 49 53,0.5,22.1
V358 Lyr,18 59 33.0,+42 24 12,0.5,23.2
J0019+4339,00 19 52.2,+43 39 01,0.5,22.2
J0514+6711,05 14 15.6,+67 11 20,0.5,22.0
J0656+7444,06 56 08.3,+74 44 55,0.5,21.5
J0858-2740,08 58 54.2,-27 40 31,0.5,19.3
J1100-1156,11 00 38.1,-11 56 47,0.5,20.6
J1800+5256,18 00 05.9,+52 56 33,0.5,21.2
J1845+4831,18 45 42.6,+48 31 31,0.5,16.6
HO Cet,02 33 21.4,-10 47 04,0.5,18.2
V572 And,02 22 16.4,+41 23 00,0.5,19.5
J1751-2938,17 51 18.8,-29 38 11,0.5,22.7
V844 Her,16 25 01.7,+39 09 27,0.5,17.0
DI UMa,09 12 16.2,+50 53 55,0.5,19.0
J2305-0225,23 05 23.3,-02 25 49,0.5,19.8
V627 Peg,21 38 06.7,+26 19 57,0.5,16.6
J1853+4203,18 53 28.8,+42 03 44,0.5,19.7
J1433+1011,14 33 17.8,+10 11 23,0.5,18.2
J1126+0846,11 26 19.4,+08 46 51,0.5,21.8
PR Her,18 08 04.4,+38 46 17,0.5,21.0
J1457+5148,14 57 58.2,+51 48 08,0.5,20.2
J0221+7322,02 21 02.8,+73 22 45,0.5,20.4
J0413+0945,04 13 50.0,+09 45 15,0.5,0.0
J1435+2336,14 35 44.0,+23 36 39,0.5,18.2
J1605+2405,16 05 48.0,+24 05 31,0.5,19.8
UW Tri,02 45 17.3,+33 31 26,0.5,22.6
GW Lib,15 19 55.5,-25 00 25,0.5,16.0
J2141+0507,21 41 40.4,+05 07 30,0.5,18.9
KN Cet,02 42 42.9,-11 46 45,0.5,17.0
J0557+6832,05 57 18.5,+68 32 27,0.5,19.0
J1944+4912,19 44 19.3,+49 12 57,0.5,22.0
CT Tri,02 38 39.1,+35 56 49,0.5,21.7
V1265 Tau,03 29 12.3,+12 50 18,0.5,21.0
V681 Peg,23 27 27.2,+08 55 39,0.5,21.4
J1454+5624,14 54 03.2,+56 24 57,0.5,22.1
J0036+2151,00 36 35.8,+21 51 26,0.5,21.6
J0811-1227,08 11 50.6,-12 27 51,0.5,16.8
V574 Pup,07 41 53.6,-27 06 38,0.5,17.9
OV Boo,15 07 22.3,+52 30 40,0.5,18.1
J1122-1110,11 22 53.3,-11 10 38,0.5,20.5
V396 Hya,13 12 46.9,-23 21 31,0.5,17.7
J1740+4147,17 40 33.5,+41 47 56,0.5,21.0
EI Psc,23 29 54.3,+06 28 11,0.5,15.9
V418 Ser,15 14 53.6,+02 09 35,0.5,20.3
J2333-1557,23 33 13.0,-15 57 44,0.5,21.3
J1137+4054,11 37 32.3,+40 54 58,0.5,19.0
J1940+4632,19 40 16.2,+46 32 48,0.5,22.5
J1552+3201,15 52 52.5,+32 01 51,0.5,19.3
1108+5728,11 11 26.8,+57 12 39,0.5,19.2
J1642+1934,16 42 28.1,+19 34 10,0.5,20.3
J1208+3550,12 08 42.0,+35 50 25,0.5,18.8
J1028-0819,10 28 42.9,-08 19 27,0.5,19.1
J1505+0659,15 05 51.6,+06 59 49,0.5,19.1
J1611+6308,16 11 34.0,+63 08 32,0.5,18.7
J0354-1652,03 54 10.3,-16 52 50,0.5,17.2
J0902+3819,09 02 21.4,+38 19 42,0.5,20.2
J0450-0931,04 50 19.8,-09 31 13,0.5,21.0
GP Com,13 05 42.9,+18 01 03,0.5,15.6
J0437+3702,04 37 58.8,+37 02 59,0.5,21.2
J1411+4812,14 11 18.3,+48 12 58,0.5,19.4
J2348+2502,23 48 43.2,+25 02 50,0.5,20.2
J0804+1616,08 04 49.5,+16 16 25,0.5,18.0
J1525+3600,15 25 09.6,+36 00 55,0.5,19.8
J0713+2055,07 13 27.3,+20 55 54,0.5,17.6
J1721+2733,17 21 02.5,+27 33 01,0.5,21.6
V744 And,01 29 40.1,+38 42 10,0.5,21.0
J1240-0159,12 40 58.0,-01 59 19,0.5,19.7
V558 Vir,14 27 01.6,-01 23 10,0.5,21.0
J1730+5545,17 30 47.6,+55 45 19,0.5,18.5
J0435+0029,04 35 17.7,+00 29 41,0.5,22.0
V406 Hya,09 05 54.8,-05 36 09,0.5,20.5
J0943+1029,09 43 29.6,+10 29 58,0.5,20.7
CP Eri,03 10 32.8,-09 45 05,0.5,19.7
YZ LMi,09 26 38.7,+36 24 02,0.5,20.3
J0208+3732,02 08 04.2,+37 32 17,0.5,17.5
J0719+4858,07 19 12.1,+48 58 35,0.5,19.5
J1832-0840,18 32 19.3,-08 40 30,0.5,21.1
KL Dra,19 24 38.3,+59 41 47,0.5,19.2
CR Boo,13 48 55.3,+07 57 35,0.5,17.2
J1919+4815,19 19 05.2,+48 15 06,0.5,21.8
HP Lib,15 35 53.1,-14 13 12,0.5,13.6
J1908+3940,19 08 17.1,+39 40 36,0.5,16.1
AM CVn,12 34 54.6,+37 37 43,0.5,14.1
ES Cet,02 00 52.2,-09 24 32,0.5,16.7
V407 Vul,19 14 26.1,+24 56 43,0.5,18.2
HM Cnc,08 06 23.0,+15 27 31,0.5,21.1
J0043+4117,00 43 19.8,+41 17 58,0.5,0.0
J0525+2413,05 25 22.7,+24 13 33,0.5,16.4
J0614+1704,06 14 12.3,+17 04 33,0.5,17.8
J0820-2804,08 20 34.1,-20 04 59,0.5,16.2
J1748-2807,17 48 16.9,-28 07 50,0.5,0.0
J1804-2739,18 04 30.4,-27 39 32,0.5,17.3
J1804-1456,18 04 38.9,-14 56 47,0.5,18.0
J2015+3711,20 15 37.0,+37 11 23,0.5,18.0
J2138+5544,21 38 50.0,+55 44 05,0.5,18.0
J2224+17,22 24 00.0,+17 00 00,0.5,17.6
FI Cas,00 06 09.96,+55 58 50.7,0.5,15.0p-18.5p
Peg1,00 11 33.10,+18 49 48.4,0.5,-
Cas,00 12 43.5,+52 47 20.,0.5,13.8v-19.5v
DK Cas,00 18 07.83,+57 26 07.1,0.5,15.3p-18.6V
And,00 18 56.93,+34 54 44.3,0.5,17.8s-
HP And,00 19 09.3,+41 27 42.,0.5,10.5p-<14.5p
And,00 21 48.45,+35 04 51.2,0.5,15.0v-
Cas,00 22 57.63,+61 41 07.8,0.5,18.0B-
V410 Cas,00 23 27.67,+61 46 28.9,0.5,15.5p-18p
Psc3,00 24 52.55,-01 53 35.4,0.5,15p-
Psc,00 25 11.07,+12 17 12.1,0.5,10.5V-17.5B
Cet,00 26 03.80,-09 30 21.0,0.5,20.2g-
HQ And,00 31 35.89,+43 49 05.5,0.5,15.0p-16.2p
LS And,00 32 10.21,+41 58 10.4,0.5,11.7p-20.5p
And,00 32 23.1,+25 48 21.,0.5,9.5p-15.p
Cet6,00 33 34.39,-19 21 33.7,0.5,-
Cet,00 33 43.57,-28 12 43.2,0.5,20.6b-
Cet,00 34 01.74,-28 08 18.0,0.5,20.5b-
Psc,00 34 48.,+10 18 00.,0.5,-
LT And,00 35 24.29,+39 46 17.2,0.5,18.1B-19.4B
And,00 37 50.3,+41 21 12.,0.5,19.6B-
And,00 38 47.6,+41 04 37.,0.5,17.2B-21B
Cet,00 39 41.07,+00 54 27.7,0.5,20.6s-
And,00 41 23.68,+41 15 00.4,0.5,16.4p-
And,00 41 40.92,+41 03 36.6,0.5,16.9p-
And,00 42 57.64,+41 08 11.9,0.5,17.8p-
And,00 43 06.4,+41 30 13.4,0.5,18.2V-<23.0V
And,00 43 08.61,+41 12 47.6,0.5,-
Cet,00 43 35.14,-00 37 29.8,0.5,19.8s-
BL Psc,00 44 01.35,+09 32 58.3,0.5,-
IO And,00 48 19.03,+39 41 12.0,0.5,-
And,00 49 56.,+43 37 45.,0.5,16.5B-21B
And,00 50 01.,+43 33 56.,0.5,16.2B-21B
Cet,00 50 50.88,+00 09 12.7,0.5,20.4s-
Psc,00 51 26.97,+09 21 32.8,0.5,-
Psc1,00 53 40.13,+17 09 43.7,0.5,-
Scl2,00 59 28.43,-26 30 54.8,0.5,-
IZ And,01 07 03.88,+42 43 12.3,0.5,15.6p-20.5p
Cet7,01 09 34.83,-08 00 33.2,0.5,15p-
Scl,01 09 46.19,-27 45 23.4,0.5,19.9b-
Psc,01 09 59.21,+28 01 25.5,0.5,-
XY Psc,01 10 11.27,+03 32 33.9,0.5,13.0p-<18.5p
FN And,01 11 57.59,+35 17 24.1,0.5,13.5p-19.3V
V418 Cas,01 12 59.89,+62 10 47.6,0.5,-
And3,01 14 44.,+35 37 09.,0.5,10p-<13P
Psc,01 17 37.5,+05 10 40.,0.5,18.B-21.5B
Cas3,01 18 25.6,+63 42 08.,0.5,10p-18p
AH Psc,01 21 32.6,+09 40 59.,0.5,9.5v-<14v
And,01 27 50.60,+38 08 12.6,0.5,17.3B-
AS Psc,01 28 08.37,+31 14 57.3,0.5,16.6p-21.5p
And,01 28 28.98,+38 54 36.9,0.5,15.0V-
And,01 29 40.06,+38 42 10.4,0.5,19.8s-
KU Cas,01 31 02.37,+57 54 13.4,0.5,13.3p-19.7B
And,01 31 26.07,+36 02 39.7,0.5,16.5B-
Cet,01 31 32.39,-09 01 22.3,0.5,18.3s-
Cet,01 37 01.07,-09 12 34.8,0.5,12.5V-18.6V
TX Tri,01 37 37.20,+30 02 48.8,0.5,14.5B-18.2B
Tri,01 39 52.27,+29 21 19.8,0.5,-
Psc,01 41 39.92,+06 14 37.4,0.5,15.2B-
Cet,01 42 25.28,-22 15 58.3,0.5,12.2p-18.7B
Tri,01 46 48.46,+31 52 24.7,0.5,-
For2,01 48 07.89,-25 32 42.3,0.5,-
Cet,01 51 18.57,-02 23 00.7,0.5,14.0V-20.7V
Ari,01 51 51.87,+14 00 47.2,0.5,15.7p-20.3s
Cas,01 53 20.76,+74 46 22.2,0.5,16.4V-
Cas4,01 55 10.41,+69 42 40.4,0.5,17.8V-
Cet,01 55 43.44,+00 28 06.4,0.5,14.7p-17.6p
UZ Tri,01 58 24.7,+33 31 30.,0.5,>14.2p-21.0p
For,01 59 40.71,-28 10 40.6,0.5,12.0V-19.7b
Cet,01 59 50.2,+00 23 42.,0.5,-
Cet,02 06 44.51,-02 12 17.3,0.5,-
Tri,02 09 29.80,+28 32 29.3,0.5,18.4B-
UW Per,02 12 29.54,+57 05 18.5,0.5,15.p-18.9V
And,02 22 16.4,+41 22 59.9,0.5,15.5c-<16.5c
Cep2,02 22 22.75,+78 54 38.0,0.5,-
XX Cet,02 22 39.98,-19 32 47.3,0.5,-
Cet,02 23 01.6,+06 16 51.7,0.5,16.3B-19.3B
FS And,02 25 55.03,+37 34 05.3,0.5,14.5p-<17.5p
Per,02 29 37.05,+52 25 40.0,0.5,8.9v-14v
Cet,02 33 21.41,-10 47 04.1,0.5,12.1V-
Cet,02 33 22.61,+00 50 59.6,0.5,19.9s-
KW And,02 35 17.99,+41 14 02.6,0.5,14.8p-22p
Cet5,02 35 40.44,-13 21 11.5,0.5,18.1p-19.5p
Cep,02 35 58.18,+80 29 44.5,0.5,13.7B-15.0B
Per,02 42 09.1,+43 21 08.,0.5,11.7p-20p
For,02 42 34.79,-28 02 43.7,0.5,18.4V-20.8V
Cet1,02 42 53.45,+06 47 45.6,0.5,16.4B-
Ari,02 44 57.78,+27 31 09.3,0.5,12.p-<16.p
Per,02 46 02.33,+34 55 08.4,0.5,14.1p-<17.6p
SU Ari,02 48 30.,+17 21 47.,0.5,9.5v-<14.5v
Cet,02 50 03.06,+01 09 30.7,0.5,-
Cet2,02 51 17.71,+05 37 47.7,0.5,16.2B-17.6V
V502 Cas,02 52 22.8,+58 45 51.,0.5,16.1r-<17.0r
Eri,02 55 38.03,-22 47 02.7,0.5,18.0v-
V372 Per,02 56 39.67,+37 08 23.6,0.5,15.4B-<19.0B
LW Cas,02 57 21.92,+60 41 19.7,0.5,-
V664 Cas,03 03 46.99,+64 54 35.5,0.5,13.5v-
Per,03 09 13.58,+33 31 26.8,0.5,-
Eri,03 10 51.67,-07 55 00.3,0.5,15.5s-20.7V
Eri,03 11 20.,-22 54 38.,0.5,-
Per,03 19 06.76,+35 29 35.9,0.5,9.5v-
W Ari,03 20 45.1,+28 57 14.,0.5,9.5v-<20.0v
V336 Per,03 22 53.84,+41 37 01.4,0.5,14.3V-19.7V
Per,03 31 08.19,+43 57 50.5,0.5,-
Per,03 31 31.45,+43 56 48.2,0.5,-
Cam,03 32 07.7,+54 35 31.,0.5,14.B-
Tau,03 33 28.47,-00 05 53.5,0.5,20.5g-
SZ For,03 41 19.99,-26 36 21.1,0.5,-
CW Cam,03 43 00.21,+57 33 56.0,0.5,-
V1209 Tau,03 43 13.84,+24 05 09.4,0.5,16.2p-17.3p
OV Tau,03 46 06.27,+29 41 14.8,0.5,15.5p-16.5p
SZ Per,03 47 06.3,+34 19 18.,0.5,9.5v-<16.5p
MR Per,03 50 46.91,+48 12 37.1,0.5,-
Eri,03 54 10.30,-16 52 50.2,0.5,16.0V-18.4v
Tau2,04 00 37.23,+06 22 46.3,0.5,14.6V-15.5V
Tau,04 03 06.60,+04 44 14.6,0.5,15.8V-17.5V
Eri,04 07 14.78,-06 44 25.2,0.5,15.0V-17.1V
MY Per,04 09 12.21,+48 22 06.6,0.5,16p-<18p
NS Per,04 18 44.45,+51 07 30.6,0.5,14.3V-18.0V
Tau,04 21 12.23,+16 26 17.0,0.5,-
Cam,04 23 32.80,+74 52 50.3,0.5,16.7B-
Eri,04 25 55.18,-19 45 30.4,0.5,16.6v-
Cam,04 31 15.41,+58 45 07.9,0.5,8.5p-
V392 Per,04 43 21.38,+47 21 26.6,0.5,15p-17.4V
Per1,04 49 54.13,+40 32 31.2,0.5,-
Tau4,05 02 50.94,+16 24 22.0,0.5,17.1V-
HW Tau,05 03 38.48,+26 24 03.6,0.5,-
Cep,05 06 48.29,+83 19 23.1,0.5,14.7V-
Cam,05 13 36.54,+77 28 42.8,0.5,15.1B-18.5B
Aur,05 24 30.48,+42 44 50.2,0.5,-
ZZ Lep,05 27 28.20,-12 41 50.3,0.5,9.8V-10.2V
V650 Ori,05 31 08.82,+09 45 27.7,0.5,15.5p-<17.5p
Cam,05 32 33.87,+62 47 52.1,0.5,11.6p-16R
V421 Tau,05 48 22.90,+22 42 02.0,0.5,-
V529 Ori,05 58 20.18,+20 15 45.1,0.5,6v-20.5p
Cam1,06 00 02.02,+77 51 31.0,0.5,18.5v-
Lep,06 00 33.30,-27 09 18.5,0.5,19V-
HM Gem,06 03 09.,+25 14 49.,0.5,16.5p-20.5p
Gem,06 07 33.8,+24 07 55.2,0.5,18.6V-21.1V
Gem1,06 10 43.97,+25 10 31.3,0.5,15.3p-15.9p
HQ Gem,06 12 04.4,+25 28 34.,0.5,16.5p-20p
Aur2,06 14 09.81,+45 30 08.5,0.5,11.2p-14.5p
Cam,06 25 16.18,+73 34 39.2,0.5,14.8B-
KT Mon,06 25 18.46,+05 26 31.7,0.5,10.3p-<21
KN Gem,06 35 51.55,+26 52 58.0,0.5,-
Cam,06 36 22.84,+65 54 15.2,0.5,19.7V-
Aur,06 36 32.55,+35 35 43.3,0.5,15.7B-
SY Gem,06 40 37.,+31 11 26.,0.5,9.2v-<13v
CMa,06 43 58.9,-20 52 33.,0.5,11.4p-19j
KT Gem,06 45 21.18,+19 04 47.3,0.5,16p-20p
Lyn,06 46 19.60,+50 45 48.0,0.5,15.5R-
Mon,06 49 50.88,-07 37 41.7,0.5,18.0B-
EQ Mon,06 57 37.16,-09 48 03.4,0.5,-
Gem,06 58 45.,+17 02 11.,0.5,7.0v-<14p
MV Gem,07 00 53.33,+12 51 20.6,0.5,-
V838 Mon,07 04 04.85,-03 50 51.1,0.5,8.3v-
Gem,07 04 08.67,+26 25 10.9,0.5,16.7B-
EU CMa,07 05 40.27,-16 08 43.8,0.5,16.5p-<19p
CMi,07 10 05.,+02 56,0.5,10.6p-11.4p
WY CMa,07 11 40.10,-26 58 40.0,0.5,-
WZ CMa,07 18 49.19,-27 07 43.2,0.5,14.5p-18.3V
HM Aur,07 29 06.76,+40 40 57.1,0.5,-
Aur,07 29 10.68,+36 58 38.2,0.5,20.4s-
CL Pup,07 30 02.18,-19 29 51.9,0.5,-
Cam2,07 32 33.64,+72 41 42.6,0.5,-
Cam,07 33 41.33,+67 32 15.8,0.5,15.0B-18.4B
Gem,07 38 17.74,+28 55 19.7,0.5,19.4s-
Gem,07 43 55.56,+18 38 34.8,0.5,20.1g-21.3
Lyn,07 45 31.92,+45 38 29.6,0.5,19.1g-
Gem,07 46 40.62,+17 34 12.8,0.5,18.2g-21.4g
Lyn,07 47 16.80,+42 48 49.0,0.5,17.1s-
Gem,07 48 13.54,+29 05 09.2,0.5,18.8s-
Mon,07 49 10.40,-05 49 25.6,0.5,19.0B-
UMi,07 49 38.33,+88 44 28.9,0.5,15.0v-
Lyn,07 52 40.45,+36 28 23.2,0.5,17.7s-
V716 Mon,07 52 43.57,-10 42 46.1,0.5,-
Lyn,07 54 43.01,+50 07 29.2,0.5,17.3g-
Cam,07 59 26.36,+59 53 51.6,0.5,17.5p-19.8V
Cnc,07 59 39.79,+19 14 17.3,0.5,18.2g-
Cnc,08 01 42.37,+21 03 45.8,0.5,18.8s-
Lyn,08 02 15.34,+40 10 47.0,0.5,16.7s-
Cnc,08 03 03.90,+25 16 27.0,0.5,19.6s-
Lyn,08 04 34.20,+51 03 49.2,0.5,17.9g-
Cnc,08 06 22.97,+15 27 31.4,0.5,20V-
VZ Gem,08 07 47.,+30 50 54.,0.5,8.7v-<21
Cnc,08 08 46.19,+31 31 06.0,0.5,14.5V-19.4s
Lyn,08 08 55.38,+56 15 02.5,0.5,-
Lyn,08 09 08.40,+38 14 06.3,0.5,15.6s-
Cnc,08 12 56.85,+19 11 57.8,0.5,15.8g-
Lyn,08 13 21.92,+45 28 09.4,0.5,18.3s-
Cnc,08 13 52.02,+28 13 17.3,0.5,17.2s-
Lyn,08 16 10.83,+45 30 10.2,0.5,20.1s-
Lyn,08 20 51.07,+49 34 31.7,0.5,18.0V-19.3V
Lyn,08 24 09.73,+49 31 24.4,0.5,19.3s-
Cnc,08 24 57.15,+07 37 02.4,0.5,18.6g-
Cam3,08 32 45.67,+73 37 07.9,0.5,-
DE Cnc,08 35 27.25,+19 45 30.6,0.5,14.6p-18.0V
AA Cnc,08 37 23.11,+26 12 28.7,0.5,-
Lyn,08 37 51.00,+38 30 12.5,0.5,19.1s-
UMa,08 38 45.23,+49 10 55.4,0.5,19.6s-
Cnc,08 39 31.35,+28 28 24.0,0.5,20.2s-
Cnc,08 40 26.16,+22 04 44.6,0.5,19.9g-
Hya,08 40 54.15,+04 55 19.2,0.5,15.7g-
Hya,08 44 00.10,+02 39 19.3,0.5,18.3s-
Cnc,08 46 17.12,+24 34 44.1,0.5,19.9g-
FV Cnc,08 48 01.78,+18 40 37.3,0.5,-
Lyn,08 54 14.02,+39 05 37.3,0.5,16.4B-
Cnc,08 56 23.00,+31 08 33.9,0.5,20.0s-
Hya,08 59 09.18,+05 36 54.5,0.5,17V-
Lyn,09 00 16.56,+43 01 18.2,0.5,18.9s-
UMa,09 01 03.94,+48 09 11.1,0.5,19.3s-
BI Lyn,09 03 19.45,+39 51 01.0,0.5,-
Lyn,09 03 50.73,+33 00 36.1,0.5,18.8s-
Hya,09 04 03.49,+03 55 01.2,0.5,19.2s-
Lyn,09 04 52.09,+44 02 55.4,0.5,19.4s-
Hya,09 05 54.79,-05 36 08.6,0.5,16.5V-20.3V
Hya,09 06 28.25,+05 26 56.9,0.5,15.5V-18.8s
Lyn,09 09 38.25,+44 46 34.2,0.5,13.5v-
Cnc,09 11 27.36,+08 41 40.7,0.5,19.7s-
Pyx,09 18 58.50,-29 42 37.0,0.5,12.0V-
UMa,09 19 35.66,+50 28 25.1,0.5,19.9s-
Cnc,09 19 45.11,+08 57 10.1,0.5,18.2s-
Hya,09 20 09.55,+00 42 45.0,0.5,17.5s-
UMa,09 22 19.55,+42 12 56.8,0.5,19.9s-
Lyn,09 22 29.26,+33 07 43.6,0.5,18.4s-
Leo,09 24 44.48,+08 01 51.0,0.5,19.3s-
Leo,09 24 55.94,+13 20 52.4,0.5,17.9B-
LMi,09 26 38.72,+36 24 02.4,0.5,19.0s-20.5s
Leo,09 28 45.,+23 11,0.5,18.5p-
TU Leo,09 29 50.68,+21 22 52.6,0.5,-
UMa6,09 32 14.82,+49 50 54.8,0.5,16.3V-
Hya,09 32 38.21,+01 09 02.5,0.5,20.3s-
UMa,09 32 49.57,+47 25 23.0,0.5,17.8s-
Lyn2,09 34 23.40,+40 38 09.0,0.5,15.7f-19V
Leo,09 37 19.,+15 13 12.,0.5,4v-
Leo7,09 38 36.98,+07 14 55.1,0.5,13.0B-17B
UMa,09 43 25.90,+52 01 28.7,0.5,16.5s-
Sex,09 44 31.70,+03 58 05.6,0.5,12.5V-16.3B
Leo,09 46 34.5,+13 50 58.1,0.5,16.3V-19.0V
LMi,09 49 20.06,+35 55 43.6,0.5,-
Sex1,09 49 40.40,+03 24 25.2,0.5,-
UMa,09 51 35.20,+60 29 39.6,0.5,20.0s-
Leo,09 53 08.17,+14 58 36.1,0.5,17.3V-
